timestamp,price,volume,volatility,liquidity,feesUSD,hour,day_of_week
2024-08-27 21:00:00,2491.585098870793,44184295.16584761,0.006715528468365759,6.800377661799224e+18,22092.147582923804,21,1
2024-08-27 20:00:00,2580.368072448316,5453499.84471684,0.012415285390335273,8.132634247818147e+18,2726.7499223584205,20,1
2024-08-27 19:00:00,2583.51967997286,5227392.174463282,0.012369117340510155,8.13239022011194e+18,2613.6960872316413,19,1
2024-08-27 18:00:00,2584.249203279368,6363388.913647294,0.012437887411837096,8.544667781756999e+18,3181.6944568236468,18,1
2024-08-27 17:00:00,2584.799453059061,4735218.410297745,0.01251089610547548,8.538859584754528e+18,2367.609205148872,17,1
2024-08-27 16:00:00,2567.3107962980985,9368606.664059924,0.012412297222682818,8.069166016756958e+18,4684.303332029962,16,1
2024-08-27 15:00:00,2580.15886702064,8684051.929289198,0.011819975649473997,8.108995798502062e+18,4342.025964644598,15,1
2024-08-27 14:00:00,2585.170765000006,17357780.691945743,0.0116957338750989,8.103560827810262e+18,8678.890345972872,14,1
2024-08-27 13:00:00,2611.3306671277423,12282312.588542871,0.011776738475250133,2.593377100056828e+19,6141.156294271437,13,1
2024-08-27 12:00:00,2621.4765129680873,7718519.326216865,0.011634620917729542,1.754751289642854e+21,3859.259663108433,12,1
2024-08-27 11:00:00,2626.185555418718,6476362.618211136,0.011461177830738058,8.224880605696754e+18,3238.181309105568,11,1
2024-08-27 10:00:00,2639.605663701689,8280967.782942461,0.00435920477461451,7.862572285932251e+18,4140.48389147123,10,1
2024-08-27 09:00:00,2673.3880940780623,3322989.8443347183,0.005447885928780676,8.107636982503149e+18,1661.4949221673592,9,1
2024-08-27 08:00:00,2684.210395537832,2787728.9176675812,0.005334449627321111,9.219053968748146e+18,1393.8644588337909,8,1
2024-08-27 07:00:00,2687.389172083053,2488944.0500132325,0.005270024902737817,8.161861084811734e+18,1244.4720250066161,7,1
2024-08-27 06:00:00,2679.0141381002527,4420661.583473272,0.004521607340156567,8.117379943499836e+18,2210.330791736636,6,1
2024-08-27 05:00:00,2696.2190902579364,2784624.222303741,0.004568918008154285,1.9001480993031262e+19,1392.3121111518706,5,1
2024-08-27 04:00:00,2688.0217342467,6941227.674343089,0.00510881974740295,8.113388938815898e+18,3470.613837171544,4,1
2024-08-27 03:00:00,2684.6015994014692,7404795.999013901,0.004835861049749428,8.101441795330589e+18,3702.3979995069503,3,1
2024-08-27 02:00:00,2678.455963477297,2423126.6899411413,0.00506789283992576,8.033748096795211e+18,1211.5633449705708,2,1
2024-08-27 01:00:00,2681.6101829528707,4209563.6800375935,0.0050766506046031465,8.100717816782035e+18,2104.7818400187966,1,1
2024-08-27 00:00:00,2677.046574985996,3355440.7459135135,0.005085212943981593,8.03253921065459e+18,1677.7203729567568,0,1
2024-08-26 23:00:00,2680.1573836448624,1626075.237932214,0.0031591033811342083,8.076286319261232e+18,813.0376189661071,23,0
2024-08-26 22:00:00,2688.6486520817143,2508706.0061485497,0.0030522281415263216,8.109529434351918e+18,1254.3530030742747,22,0
2024-08-26 21:00:00,2687.4308597289887,5066893.678313976,0.003035608052931285,8.095696630954713e+18,2533.446839156988,21,0
2024-08-26 20:00:00,2689.2216050415027,4967464.459469969,0.0028321997933238507,8.068372324302458e+18,2483.7322297349847,20,0
2024-08-26 19:00:00,2680.492324123222,5408339.705976397,0.0020966225141680534,7.987184887757833e+18,2704.1698529881983,19,0
2024-08-26 18:00:00,2698.8687142124722,10725017.886892129,0.0029638734801192943,8.08828982012674e+18,5362.508943446065,18,0
2024-08-26 17:00:00,2697.0138069546765,6745835.49314212,0.0029326552361344225,8.009599774432583e+18,3372.91774657106,17,0
2024-08-26 16:00:00,2726.736606712803,2338929.1893002787,0.004262471735894995,4.0256387151158984e+18,1169.4645946501394,16,0
2024-08-26 15:00:00,2723.9692520312087,14355964.64570006,0.004353249850817249,4.0254863109690214e+18,7177.982322850031,15,0
2024-08-26 14:00:00,2725.2834744484735,5930236.871552368,0.0042233134531209325,4.001160619785539e+18,2965.118435776184,14,0
2024-08-26 13:00:00,2727.2413752929306,4062250.919206052,0.004233024224869095,4.0018848047843855e+18,2031.1254596030255,13,0
2024-08-26 12:00:00,2727.4685510862505,4330602.016625148,0.004230680008509777,3.989806830138725e+18,2165.3010083125737,12,0
2024-08-26 11:00:00,2739.602069646086,2551698.48805113,0.004270426866713713,4.005359852463272e+18,1275.849244025565,11,0
2024-08-26 10:00:00,2739.2051508887184,1685523.2092007308,0.004304723687254473,4.005389894578449e+18,842.7616046003654,10,0
